token,timestamp,iterations,elapsedtime,averagetime
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,884.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,884.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,884.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24523,884.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24523,884.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24523,885
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,884.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,884.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,884.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,885
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,884.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,885
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,885.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,885.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,885.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,885.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24521,885.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24498,817.7142857142857
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,885.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,883.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,885.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,885.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24519,885
